config_id,P_ij,B_ij,Dbar_plus_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,n_status_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
25524,0.66,1.869047619047619,2.015151515151515,0.3818154761904761,0.0055940674603174555,200,84,132,256,133,3,29.9,517936,948850,24,lead_stubborn,0.4574864654719545,0.463400582232104
249333,0.335,1.9814814814814814,2.014925373134328,0.18340265290265287,0.004301012272041687,200,54,67,2494,649,5,14.6,548096,267648,33,lead_stubborn,0.2594311744995365,0.5379384620687854
25722,0.35,1.5849056603773586,2.0,0.17805338155996048,0.004128002016258596,200,53,70,258,133,3,61.0,517936,948850,22,lead_stubborn,0.24260325729568,0.2220357375157741
249175,0.35,1.7391304347826086,2.0142857142857142,0.17047916666666663,0.00395314520854962,200,46,70,2492,649,5,7.1,548096,267648,75,lead_stubborn,0.2525545317138812,0.4401811270174162
25984,0.64,1.8089887640449438,2.0234375,0.392190836940837,0.005063059163059163,200,89,128,260,133,3,125.0,517936,948850,84,lead_stubborn,0.4277086989642705,0.7484720574557526
249920,0.295,1.6875,2.0,0.15974621212121215,0.0041577426046176015,200,48,59,2500,649,5,125.0,548096,267648,20,lead_stubborn,0.2461140406262255,0.1374999707243197
26049,0.365,1.830188679245283,2.0,0.19823015873015876,0.00818025793650793,200,53,73,261,469,5,5.0,133171,7254917,49,lead_stubborn,0.3008118292997498,0.7565167136190543
26149,0.4,1.7014925373134329,2.0,0.2623253968253968,0.006874406565656559,200,67,80,262,469,5,7.1,133171,7254917,49,lead_stubborn,0.3008118292997498,0.7565167136190543
26444,0.46,1.7142857142857142,2.0,0.26794480519480524,0.005593793290043289,200,70,92,265,469,5,20.9,133171,7254917,44,lead_stubborn,0.3297294244236074,0.1851245903607699
26619,0.675,1.946236559139785,2.0148148148148146,0.4303809523809523,0.005629345238095239,200,93,135,267,469,5,42.7,133171,7254917,19,lead_stubborn,0.4954733651280948,0.0419355939468332
26770,0.495,1.9365079365079365,2.01010101010101,0.28473881673881674,0.005341128454878454,200,63,99,268,469,5,61.0,133171,7254917,70,lead_stubborn,0.4344347691369841,0.0048962068848224
26867,0.52,1.9104477611940298,2.0,0.267693833943834,0.0045324163336663325,200,67,104,269,469,5,87.4,133171,7254917,67,lead_stubborn,0.3604525200861999,0.8954386061007626
26930,0.275,1.641025641025641,2.0,0.11738069985569989,0.004194672348076759,200,39,55,270,469,5,125.0,133171,7254917,30,lead_stubborn,0.2039812783100412,0.857228363045134
28145,0.69,2.9148936170212765,2.217391304347826,0.29871301492625013,0.01013380952380952,200,94,138,282,939,2,7.1,525515,3746875,45,lead_stubborn,0.2747520561924723,0.7307587255425585
28639,0.765,1.4742268041237114,2.052287581699346,0.4197142857142857,0.007487857142857137,200,97,153,287,939,2,42.7,525515,3746875,39,lead_stubborn,0.4790241755215713,0.6177321915239017
28824,0.72,1.711340206185567,2.0208333333333335,0.42181060606060616,0.006940954184704176,200,97,144,289,939,2,87.4,525515,3746875,24,lead_stubborn,0.4574864654719545,0.463400582232104
2741,0.435,1.6666666666666667,2.0,0.2309027777777778,0.004887640692640691,200,51,87,28,953,6,61.0,1197932,5801972,41,lead_stubborn,0.3883150820571905,0.5577479977483336
28911,0.63,1.5584415584415585,2.0,0.3418452380952381,0.006330535714285711,200,77,126,290,939,2,125.0,525515,3746875,11,lead_stubborn,0.3777435584279705,0.3053722478730439
2954,0.44,1.8644067796610169,2.0,0.24500000000000002,0.004888551587301586,200,59,88,30,953,6,125.0,1197932,5801972,54,lead_stubborn,0.3585232711576509,0.4092237628104323
29189,0.21,1.7096774193548387,2.0,0.09068686868686869,0.004131845432345432,200,31,42,292,931,7,7.1,763920,5881002,89,lead_stubborn,0.2129379249701362,0.6944582199785999
29743,0.515,2.1267605633802815,2.0194174757281553,0.28106998556998564,0.0045559150571650555,200,71,103,298,931,7,61.0,763920,5881002,43,lead_stubborn,0.3733963553970497,0.8234180661786772
29809,0.275,1.7222222222222223,2.0,0.12231143856143856,0.00406607255897697,200,36,55,299,931,7,87.4,763920,5881002,9,lead_stubborn,0.2331676534838964,0.9471927912224244
