system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
737,898,7,42.7,760639,4056088,1,0.18,,,1.9166666666666667,0.345
739,898,7,87.4,760639,4056088,1,0.245,,,1.9387755102040816,0.475
745,351,4,20.9,935689,642421,1,0.235,,,1.9148936170212767,0.45
746,351,4,29.9,935689,642421,1,0.315,,,1.746031746031746,0.55
747,351,4,42.7,935689,642421,1,0.315,,,1.7936507936507937,0.565
748,351,4,61.0,935689,642421,1,0.26,,,1.6346153846153846,0.425
749,351,4,87.4,935689,642421,1,0.45,,,1.8555555555555556,0.835
752,755,6,7.1,815771,5006363,1,0.465,,,1.7526881720430108,0.815
755,755,6,20.9,815771,5006363,1,0.345,,,1.855072463768116,0.64
757,755,6,42.7,815771,5006363,1,0.195,,,1.7179487179487178,0.335
759,755,6,87.4,815771,5006363,1,0.225,,,1.6888888888888889,0.38
761,381,6,5.0,612977,1098150,1,0.355,,,2.0,0.71
762,381,6,7.1,612977,1098150,1,0.455,,,1.7912087912087913,0.815
771,285,7,5.0,479437,1362798,1,0.285,,,1.8070175438596492,0.515
773,285,7,10.2,479437,1362798,1,0.35,,,1.7714285714285714,0.62
775,285,7,20.9,479437,1362798,1,0.35,,,1.8857142857142857,0.66
777,285,7,42.7,479437,1362798,1,0.325,,,1.9692307692307693,0.64
779,285,7,87.4,479437,1362798,1,0.3,,,2.0166666666666666,0.605
780,285,7,125.0,479437,1362798,1,0.355,,,2.028169014084507,0.72
787,594,4,42.7,240540,7147011,1,0.34,,,1.9705882352941178,0.67
791,528,8,5.0,748694,1322580,1,0.33,,,1.9242424242424243,0.635
792,528,8,7.1,748694,1322580,1,0.275,,,1.8363636363636364,0.505
793,528,8,10.2,748694,1322580,1,0.425,,,1.7294117647058824,0.735
794,528,8,14.6,748694,1322580,1,0.36,,,1.8055555555555556,0.65
795,528,8,20.9,748694,1322580,1,0.265,,,1.7924528301886793,0.475
797,528,8,42.7,748694,1322580,1,0.365,,,2.041095890410959,0.745
798,528,8,61.0,748694,1322580,1,0.415,,,1.7951807228915662,0.745
