config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
54762,0.25,2.12,0.21921464646464645,0.004497472943722942,200,50,548,749,5,61.0,991651,3043360,62,selfish,0.3350709844137344,0.6247506884808997
5606,0.465,1.956989247311828,0.41181349206349205,0.005293690476190476,200,93,57,29,8,42.7,890055,4550282,6,selfish,0.4911132375299709,0.252577974178488
55205,0.45,1.7333333333333334,0.40715750915750915,0.005912550366300365,200,90,553,475,7,10.2,857879,2331062,5,selfish,0.4995762557070848,0.3625281920046287
55403,0.325,1.8615384615384616,0.2741991341991341,0.005514825036075037,200,65,555,475,7,20.9,857879,2331062,3,selfish,0.405342196225377,0.1209354681890304
56301,0.355,1.8169014084507042,0.30444642857142856,0.005567182539682536,200,71,564,323,8,14.6,621098,7452855,1,selfish,0.3857676334163057,0.2047082508361712
55998,0.18,1.6388888888888888,0.11118890831390833,0.003693931346431346,200,36,560,475,7,125.0,857879,2331062,98,selfish,0.21729239263723,0.8840829656528192
57161,0.275,1.690909090909091,0.19312118364092046,0.00477333694083694,200,55,572,183,4,7.1,558235,7891629,61,selfish,0.3070497535774244,0.9179940122389904
56554,0.235,1.9574468085106382,0.1935,0.004900853174603172,200,47,566,323,8,29.9,621098,7452855,54,selfish,0.3585232711576509,0.4092237628104323
5734,0.28,2.0,0.25380357142857146,0.0048050216450216425,200,56,58,29,8,61.0,890055,4550282,34,selfish,0.4113840234518945,0.152863497296565
57000,0.325,1.9846153846153847,0.3019484126984128,0.005014474969474969,200,65,570,323,8,125.0,621098,7452855,100,selfish,0.4158727914731683,0.6511808318464773
56772,0.235,1.8085106382978724,0.18325018037518037,0.004431071983571982,200,47,568,323,8,61.0,621098,7452855,72,selfish,0.3156406422303758,0.3774553900605352
57528,0.315,1.9682539682539681,0.29830952380952375,0.00551257936507936,200,63,576,183,4,29.9,558235,7891629,28,selfish,0.4304538627565802,0.2618674911675315
57787,0.245,1.5918367346938775,0.17786843711843708,0.004399509934509932,200,49,578,183,4,61.0,558235,7891629,87,selfish,0.3108669576156866,0.5798034448113424
58086,0.515,2.1553398058252426,0.4280865384615386,0.007506143578643575,200,103,581,555,2,5.0,1149320,4915645,86,selfish,0.4461023732799478,0.2773058726188811
58181,0.305,1.7049180327868851,0.20811309523809524,0.006906190476190474,200,61,582,555,2,7.1,1149320,4915645,81,selfish,0.2269416996374781,0.4804242585572029
58485,0.425,1.7058823529411764,0.377047619047619,0.00686690476190476,200,85,585,555,2,20.9,1149320,4915645,85,selfish,0.4024582743628092,0.7244830604083918
58222,0.325,1.476923076923077,0.20723809523809528,0.0063624621212121195,200,65,583,555,2,10.2,1149320,4915645,22,selfish,0.24260325729568,0.2220357375157741
59229,0.23,1.673913043478261,0.17516269841269844,0.004523354076479073,200,46,593,203,3,10.2,1025262,7304156,29,selfish,0.2901917465581629,0.3137113417077046
59342,0.225,1.8222222222222222,0.18644047619047618,0.004727216117216117,200,45,594,203,3,14.6,1025262,7304156,42,selfish,0.2544637386172081,0.3417299389831262
58811,0.35,1.8142857142857143,0.3052521645021644,0.005487988677988677,200,70,589,555,2,87.4,1149320,4915645,11,selfish,0.3777435584279705,0.3053722478730439
58761,0.345,1.4927536231884058,0.2676751253132833,0.0056466666666666636,200,69,588,555,2,61.0,1149320,4915645,61,selfish,0.3070497535774244,0.9179940122389904
59550,0.3,1.8666666666666667,0.25709325396825394,0.004836412337662337,200,60,596,203,3,29.9,1025262,7304156,50,selfish,0.3349244931377773,0.5073741801149648
59893,0.185,1.7837837837837838,0.1466750828720643,0.004372520706417766,200,37,599,203,3,87.4,1025262,7304156,93,selfish,0.2779592827386458,0.3345825728904498
59944,0.32,1.796875,0.2479430014430014,0.004605786088911085,200,64,600,203,3,125.0,1025262,7304156,44,selfish,0.3297294244236074,0.1851245903607699
61303,0.355,1.9295774647887325,0.2983194444444444,0.00507638888888889,200,71,614,539,4,14.6,564144,5898035,3,selfish,0.405342196225377,0.1209354681890304
60537,0.405,1.8148148148148149,0.38115476190476194,0.005514942279942279,200,81,606,879,5,29.9,697312,4456442,37,selfish,0.469568977189866,0.9743873423433428
60031,0.2,1.875,0.1371485867074103,0.004946244861090063,200,40,601,879,5,5.0,697312,4456442,31,selfish,0.2689147210983604,0.7842712343444325
60885,0.395,1.9240506329113924,0.3527321428571428,0.005009110750360749,200,79,609,879,5,87.4,697312,4456442,85,selfish,0.4024582743628092,0.7244830604083918
618,0.305,1.5245901639344261,0.21235591674407467,0.004172815926763297,200,61,7,195,2,42.7,1117112,2763342,18,selfish,0.2312345941585266,0.3847746110331581
61594,0.25,1.78,0.19256385281385277,0.004426819846819846,200,50,616,539,4,29.9,564144,5898035,94,selfish,0.2857700497959219,0.1163714164083326
61785,0.37,1.9189189189189189,0.32961147186147177,0.004859565295815296,200,74,618,539,4,61.0,564144,5898035,85,selfish,0.4024582743628092,0.7244830604083918
62042,0.185,1.8108108108108107,0.13665613553113554,0.004491013520792931,200,37,621,742,4,5.0,972266,6502101,42,selfish,0.2544637386172081,0.3417299389831262
62260,0.25,1.74,0.1994424603174603,0.004845114746364747,200,50,623,742,4,10.2,972266,6502101,60,selfish,0.2892063661005389,0.2123889347471068
62498,0.19,1.8157894736842106,0.11958475470607823,0.003783792726880964,200,38,625,742,4,20.9,972266,6502101,98,selfish,0.21729239263723,0.8840829656528192
63704,0.28,1.7142857142857142,0.18862500000000001,0.00546757631257631,200,56,638,328,2,61.0,388142,4020608,4,selfish,0.2627648343443758,0.7190241322679278
63478,0.455,1.5824175824175823,0.3791071428571431,0.007823452380952375,200,91,635,328,2,20.9,388142,4020608,78,selfish,0.3815618301396259,0.7050527606912402
6254,0.295,1.9322033898305084,0.26293986568986566,0.004692064047064046,200,59,63,645,7,10.2,690687,2454771,54,selfish,0.3585232711576509,0.4092237628104323
62728,0.36,1.7916666666666667,0.32606547619047616,0.005230195360195359,200,72,628,742,4,61.0,972266,6502101,28,selfish,0.4304538627565802,0.2618674911675315
64024,0.39,1.8846153846153846,0.3618869047619048,0.006563511904761895,200,78,641,587,3,5.0,663189,4363208,24,selfish,0.4574864654719545,0.463400582232104
